game,bat,name,pos,team
18,2,張建銘,RF,EDA
18,3,高國輝,CF,EDA
18,4,林益全,1B,EDA
18,5,方克偉,C,EDA
18,6,林威廷,2B,EDA
18,7,陽冠威,DH,EDA
18,7,鄭達鴻,|(PH),EDA
18,8,楊承駿,3B,EDA
18,9,林瑋恩,SS,EDA
20,1,胡金龍,LF,EDA
20,2,張建銘,RF,EDA
20,3,高國輝,CF,EDA
20,4,林益全,1B,EDA
20,5,林宗男,DH,EDA
20,6,林威廷,2B,EDA
20,7,方克偉,C,EDA
20,7,藍少白,|(SS),EDA
20,8,楊承駿,3B,EDA
20,9,林瑋恩,SS,EDA
20,9,鄭達鴻,|(PH)|(C),EDA
22,1,胡金龍,LF,EDA
22,1,林宗男,|(LF),EDA
22,2,張建銘,RF,EDA
22,3,高國輝,DH,EDA
22,3,陽冠威,|(PH),EDA
22,4,林益全,1B,EDA
22,5,鄭達鴻,C,EDA
22,5,方克偉,|(C),EDA
22,6,林威廷,2B,EDA
22,7,張詠漢,CF,EDA
22,8,楊承駿,3B,EDA
22,9,藍少白,SS,EDA
24,1,胡金龍,LF,EDA
24,2,張建銘,RF,EDA
24,3,高國輝,CF,EDA
24,4,林益全,1B,EDA
24,5,陽冠威,DH,EDA
24,6,方克偉,C,EDA
24,7,楊承駿,3B,EDA
24,8,林瑋恩,SS,EDA
24,9,林威廷,2B,EDA
26,1,胡金龍,LF,EDA
26,2,蘇建榮,RF,EDA
26,2,林宗男,|(PH),EDA
26,2,張詠漢,|(CF),EDA
26,3,高國輝,CF(RF),EDA
26,4,林益全,1B,EDA
26,5,陽冠威,DH,EDA
26,6,林威廷,2B,EDA
26,7,方克偉,C,EDA
26,8,陳凱倫,3B,EDA
26,8,鄭達鴻,|(PH),EDA
26,8,楊承駿,|(3B),EDA
26,9,林瑋恩,SS,EDA
26,9,張建銘,|(PH),EDA
26,9,藍少白,|(SS),EDA
27,1,胡金龍,DH,EDA
27,1,鄭兆行,|(PH),EDA
27,2,張建銘,RF,EDA
27,2,林宗男,|(PH)|(LF),EDA
27,3,高國輝,LF,EDA
27,3,張詠漢,|(RF),EDA
27,4,林益全,1B,EDA
27,5,鄭達鴻,C,EDA
27,6,林旺衛,CF,EDA
27,7,楊承駿,3B,EDA
27,7,張鎧,|(PH)|(3B),EDA
27,8,藍少白,SS,EDA
27,9,林威廷,2B,EDA
29,1,胡金龍,DH,EDA
29,2,張建銘,RF,EDA
29,2,張詠漢,|(RF),EDA
29,3,高國輝,LF,EDA
29,4,林益全,1B,EDA
29,5,鄭達鴻,C,EDA
29,6,林旺衛,CF,EDA
29,7,張鎧,3B,EDA
29,8,藍少白,SS,EDA
29,9,林威廷,2B,EDA
31,1,胡金龍,LF,EDA
31,1,張鎧,|(3B),EDA
31,2,張詠漢,RF,EDA
31,3,高國輝,DH,EDA
31,4,林益全,1B,EDA
31,5,方克偉,C,EDA
31,6,林旺衛,CF,EDA
31,7,林宗男,3B(LF),EDA
31,8,藍少白,SS,EDA
31,9,林威廷,2B,EDA
33,1,胡金龍,LF,EDA
33,2,林宗男,3B,EDA
33,3,高國輝,RF,EDA
33,4,林益全,1B,EDA
33,5,方克偉,C,EDA
33,5,鄭達鴻,|(PH),EDA
33,6,鄭兆行,DH,EDA
33,6,張詠漢,|(PH),EDA
33,7,林旺衛,CF,EDA
33,8,張鎧,2B,EDA
33,8,藍少白,|(SS),EDA
33,9,林威廷,SS(2B),EDA
35,1,胡金龍,DH,EDA
35,1,蔡友達,|(PH),EDA
35,2,張建銘,RF,EDA
35,3,高國輝,LF,EDA
35,3,張詠漢,|(LF),EDA
35,4,林益全,1B,EDA
35,4,黃智培,|(1B),EDA
35,5,鄭達鴻,C,EDA
35,5,林琨笙,|(PH)|(C),EDA
35,6,林旺衛,CF,EDA
35,7,林宗男,3B,EDA
35,8,藍少白,SS,EDA
35,9,方玄宗,2B,EDA
37,1,胡金龍,DH,EDA
37,2,張建銘,RF,EDA
37,3,高國輝,LF,EDA
37,4,林益全,1B,EDA
37,5,鄭達鴻,C,EDA
37,6,張詠漢,CF,EDA
37,6,陽冠威,|(PH),EDA
37,6,林旺衛,|(PR)|(CF),EDA
37,7,林宗男,3B,EDA
37,8,藍少白,SS,EDA
37,9,方玄宗,2B,EDA
39,1,胡金龍,LF,EDA
39,2,張建銘,RF,EDA
39,3,高國輝,CF,EDA
39,4,林益全,1B,EDA
39,5,鄭達鴻,C,EDA
39,6,吳宗峻,DH,EDA
39,7,林宗男,3B,EDA
39,7,黃智培,|(3B),EDA
39,8,藍少白,SS,EDA
39,9,方玄宗,2B,EDA
41,1,林旺衛,CF,EDA
41,2,張建銘,RF,EDA
41,3,高國輝,DH,EDA
41,4,林益全,1B,EDA
41,5,吳宗峻,LF,EDA
41,5,張詠漢,|(LF),EDA
41,6,黃智培,3B,EDA
41,6,楊承駿,|(3B),EDA
41,7,藍少白,SS,EDA
41,8,林琨笙,C,EDA
41,9,方玄宗,2B,EDA
44,1,胡金龍,DH,EDA
44,2,張建銘,RF,EDA
44,3,高國輝,LF,EDA
44,3,陽冠威,|(PR)|(LF),EDA
44,4,林益全,1B,EDA
44,5,鄭達鴻,C,EDA
44,5,林琨笙,|(C),EDA
44,6,林旺衛,CF,EDA
44,6,張詠漢,|(PH)|(CF),EDA
44,7,方玄宗,3B,EDA
44,7,楊承駿,|(3B),EDA
44,8,藍少白,SS,EDA
44,9,林威廷,2B,EDA
46,1,胡金龍,LF,EDA
46,1,吳宗峻,|(PH)|(LF),EDA
46,2,張建銘,RF,EDA
46,2,張詠漢,|(RF),EDA
46,3,高國輝,CF,EDA
46,3,林旺衛,|(PH)|(CF),EDA
46,4,林益全,1B,EDA
46,4,藍少白,|(PH)|(SS),EDA
46,5,陽冠威,DH,EDA
46,6,方玄宗,SS(3B),EDA
46,7,林威廷,2B,EDA
46,8,林琨笙,C,EDA
46,9,楊承駿,3B(1B),EDA
47,1,胡金龍,DH,EDA
47,2,張建銘,RF,EDA
47,2,張詠漢,|(RF),EDA
47,3,高國輝,LF,EDA
47,4,林益全,1B,EDA
47,5,鄭達鴻,C,EDA
47,6,林旺衛,CF,EDA
47,7,方玄宗,3B,EDA
47,8,林瑋恩,SS,EDA
47,9,林威廷,2B,EDA
49,1,胡金龍,LF,EDA
49,1,張詠漢,|(LF),EDA
49,2,張建銘,RF,EDA
49,2,陽冠威,|(RF),EDA
49,3,高國輝,DH,EDA
49,4,林益全,1B,EDA
49,4,張鎧,|(1B),EDA
49,5,鄭達鴻,C,EDA
49,5,林琨笙,|(C),EDA
49,6,林旺衛,CF,EDA
49,7,陳凱倫,3B,EDA
49,8,林瑋恩,SS,EDA
49,9,林威廷,2B,EDA
51,1,胡金龍,LF,EDA
51,2,林宗男,3B(RF),EDA
51,3,高國輝,RF(CF),EDA
51,4,林益全,DH,EDA
51,5,陽冠威,1B,EDA
51,6,方玄宗,2B,EDA
51,7,林瑋恩,SS,EDA
51,8,林琨笙,C,EDA
51,9,張詠漢,CF,EDA
51,9,陳凱倫,|(PH)|(3B),EDA
54,1,胡金龍,DH,EDA
54,2,張建銘,RF,EDA
54,3,高國輝,LF,EDA
54,4,林益全,1B,EDA
54,5,鄭達鴻,C,EDA
54,6,林旺衛,CF,EDA
54,7,林宗男,3B,EDA
54,7,陳凱倫,|(2B),EDA
54,8,林瑋恩,SS,EDA
54,9,方玄宗,2B(3B),EDA
56,1,胡金龍,LF,EDA
56,1,林旺衛,|(CF),EDA
56,2,張建銘,RF,EDA
56,3,高國輝,CF(LF),EDA
56,4,林益全,1B,EDA
56,5,鄭達鴻,C,EDA
56,6,陽冠威,DH,EDA
56,7,林宗男,3B,EDA
56,8,林瑋恩,SS,EDA
56,9,方玄宗,2B,EDA
56,9,陳凱倫,|(2B),EDA
57,1,胡金龍,LF,EDA
57,2,張建銘,RF,EDA
57,3,高國輝,CF,EDA
57,4,林益全,1B,EDA
57,5,陽冠威,DH,EDA
57,6,林宗男,3B,EDA
57,6,鄭達鴻,|(PH)|(C),EDA
57,7,方克偉,C,EDA
57,7,張鎧,|(3B),EDA
57,7,鄭兆行,|(PH),EDA
57,8,林瑋恩,SS,EDA
57,9,陳凱倫,2B,EDA
59,1,林旺衛,LF,EDA
59,2,張建銘,RF,EDA
59,2,林宗男,|(RF),EDA
59,3,高國輝,DH,EDA
59,4,林益全,1B,EDA
59,4,鄭兆行,|(1B),EDA
59,5,張詠漢,CF,EDA
59,6,鄭達鴻,C,EDA
59,6,陽冠威,|(PH)|(C),EDA
59,7,林瑋恩,SS,EDA
59,8,藍少白,3B,EDA
59,8,方克偉,|(PH),EDA
59,9,陳凱倫,2B,EDA
61,1,胡金龍,LF,EDA
61,2,張建銘,RF,EDA
61,3,高國輝,CF,EDA
61,4,林益全,DH,EDA
61,5,陽冠威,1B,EDA
61,6,方克偉,C,EDA
61,7,林宗男,3B,EDA
61,7,藍少白,|(3B),EDA
61,8,林瑋恩,SS,EDA
61,9,林威廷,2B,EDA
64,1,胡金龍,LF,EDA
64,2,張建銘,RF,EDA
64,3,高國輝,CF,EDA
64,4,林益全,DH,EDA
64,5,陽冠威,1B,EDA
64,6,林宗男,3B,EDA
64,6,藍少白,|(3B),EDA
64,7,方克偉,C,EDA
64,8,林瑋恩,SS,EDA
64,9,林威廷,2B,EDA
66,1,胡金龍,LF,EDA
66,2,張建銘,RF,EDA
66,2,張詠漢,|(RF),EDA
66,3,高國輝,CF,EDA
66,3,林旺衛,|(PR)|(CF),EDA
66,4,林益全,DH,EDA
66,5,陽冠威,1B,EDA
66,6,鄭達鴻,C,EDA
66,6,方克偉,|(C),EDA
66,7,鄭兆行,3B,EDA
66,7,楊承駿,|(3B),EDA
66,7,藍少白,|(PH)|(3B),EDA
66,8,林瑋恩,SS,EDA
66,9,林威廷,2B,EDA
68,1,胡金龍,DH,EDA
68,2,張建銘,RF,EDA
68,3,高國輝,LF,EDA
68,4,林益全,1B,EDA
68,5,鄭達鴻,C,EDA
68,6,張詠漢,CF,EDA
68,7,林瑋恩,SS,EDA
68,7,林旺衛,|(PH),EDA
68,7,鄭兆行,|(3B),EDA
68,8,藍少白,3B(SS),EDA
68,9,林威廷,2B,EDA
70,1,胡金龍,LF,EDA
70,2,張建銘,RF,EDA
70,3,高國輝,CF,EDA
70,3,張詠漢,|(CF),EDA
70,4,林益全,DH,EDA
70,5,陽冠威,1B,EDA
70,6,方克偉,C,EDA
70,6,林旺衛,|(PH),EDA
70,6,黃智培,|(3B),EDA
70,7,鄭兆行,3B,EDA
70,7,鄭達鴻,|(PH)|(C),EDA
70,8,林瑋恩,SS,EDA
70,8,藍少白,|(PH)|(SS),EDA
70,9,陳凱倫,2B,EDA
71,1,胡金龍,DH,EDA
71,2,張建銘,RF,EDA
71,3,高國輝,LF,EDA
71,4,林益全,1B,EDA
71,5,陽冠威,3B,EDA
71,5,陳凱倫,|(2B),EDA
71,6,鄭達鴻,C,EDA
71,7,林旺衛,CF,EDA
71,8,林瑋恩,SS,EDA
71,9,藍少白,2B(3B),EDA
71,9,張詠漢,|(PH),EDA
73,1,胡金龍,DH,EDA
73,2,張建銘,RF,EDA
73,3,高國輝,LF,EDA
73,3,張詠漢,|(CF),EDA
73,4,林益全,1B,EDA
73,5,鄭達鴻,C,EDA
73,6,陽冠威,3B,EDA
73,6,陳凱倫,|(2B),EDA
73,7,林旺衛,CF(LF),EDA
73,8,方玄宗,SS,EDA
73,9,藍少白,2B(3B),EDA
75,1,胡金龍,LF,EDA
75,1,張詠漢,|(CF),EDA
75,2,張建銘,RF,EDA
75,3,高國輝,CF(LF),EDA
75,4,林益全,1B,EDA
75,5,陽冠威,DH,EDA
75,6,方克偉,C,EDA
75,7,方玄宗,SS(3B),EDA
75,8,黃智培,3B,EDA
75,8,林瑋恩,|(SS),EDA
75,8,鄭達鴻,|(PH),EDA
75,9,陳凱倫,2B,EDA
77,1,胡金龍,DH,EDA
77,2,張建銘,RF,EDA
77,2,黃智培,|(PH)|(1B),EDA
77,3,高國輝,LF,EDA
77,3,林旺衛,|(LF),EDA
77,4,林益全,1B,EDA
77,4,陳凱倫,|(2B),EDA
77,5,鄭達鴻,C,EDA
77,5,林琨笙,|(PH)|(C),EDA
77,6,陽冠威,3B(RF),EDA
77,7,張詠漢,CF,EDA
77,8,方玄宗,SS(3B),EDA
77,9,藍少白,2B,EDA
77,9,林瑋恩,|(PH)|(SS),EDA
79,1,胡金龍,LF,EDA
79,2,張建銘,RF,EDA
79,3,高國輝,DH,EDA
79,4,林益全,1B,EDA
79,5,鄭達鴻,C,EDA
79,6,陽冠威,3B,EDA
79,6,林瑋恩,|(SS),EDA
79,7,張詠漢,CF,EDA
79,8,方玄宗,SS(3B),EDA
79,9,藍少白,2B,EDA
82,1,胡金龍,DH,EDA
82,2,張建銘,RF,EDA
82,3,高國輝,LF,EDA
82,4,林益全,1B,EDA
82,5,鄭達鴻,C,EDA
82,6,陽冠威,3B,EDA
82,7,林旺衛,CF,EDA
82,8,方玄宗,SS,EDA
82,9,藍少白,2B,EDA
84,1,胡金龍,LF(1B),EDA
84,2,張建銘,RF,EDA
84,3,高國輝,CF(LF),EDA
84,4,林益全,DH,EDA
84,5,陽冠威,1B(C),EDA
84,6,鄭達鴻,C,EDA
84,6,林琨笙,|(C),EDA
84,6,林旺衛,|(PH)|(CF),EDA
84,7,黃智培,3B,EDA
84,7,吳宗峻,|(PH),EDA
84,7,陳凱倫,|(PR),EDA
84,7,藍少白,|(PH),EDA
84,8,林瑋恩,SS,EDA
84,9,林威廷,2B,EDA
85,1,胡金龍,LF,EDA
85,1,張詠漢,|(CF),EDA
85,2,張建銘,RF,EDA
85,2,藍少白,|(PR)|(3B),EDA
85,3,高國輝,CF,EDA
85,3,林旺衛,|(PR)|(LF),EDA
85,4,林益全,DH,EDA
85,5,鄭達鴻,C,EDA
85,5,林琨笙,|(PH)|(C),EDA
85,6,陽冠威,1B(RF),EDA
85,7,黃智培,3B(1B),EDA
85,8,方玄宗,2B,EDA
85,8,林威廷,|(PH)|(2B),EDA
85,9,林瑋恩,SS,EDA
87,1,胡金龍,DH,EDA
87,2,張建銘,RF,EDA
87,3,高國輝,LF,EDA
87,4,林益全,1B,EDA
87,4,藍少白,|(PR),EDA
87,5,鄭達鴻,C,EDA
87,5,林琨笙,|(C),EDA
87,6,陽冠威,3B,EDA
87,7,林旺衛,CF,EDA
87,8,方玄宗,SS(2B),EDA
87,9,林威廷,2B,EDA
87,9,張詠漢,|(PH),EDA
87,9,林瑋恩,|(SS),EDA
89,1,胡金龍,LF,EDA
89,2,林威廷,2B,EDA
89,2,吳宗峻,|(PH),EDA
89,3,高國輝,DH,EDA
89,4,林益全,1B,EDA
89,5,陽冠威,3B,EDA
89,6,張詠漢,RF,EDA
89,6,張建銘,|(PH)|(RF),EDA
89,7,方玄宗,SS,EDA
89,7,林瑋恩,|(SS),EDA
89,8,林旺衛,CF,EDA
89,9,林琨笙,C,EDA
89,9,鄭達鴻,|(PH),EDA
91,1,胡金龍,LF,EDA
91,1,林旺衛,|(CF),EDA
91,2,張建銘,RF,EDA
91,3,高國輝,CF(LF),EDA
91,4,林益全,DH,EDA
91,5,陽冠威,1B,EDA
91,6,鄭達鴻,C,EDA
91,6,林琨笙,|(C),EDA
91,7,黃智培,3B,EDA
91,7,林威廷,|(PH)|(2B),EDA
91,8,藍少白,2B(SS)(3B),EDA
91,9,林瑋恩,SS(3B)(SS),EDA
93,1,胡金龍,DH,EDA
93,2,張建銘,RF,EDA
93,2,張詠漢,|(RF),EDA
93,3,高國輝,LF,EDA
93,4,林益全,1B,EDA
93,5,鄭達鴻,C,EDA
93,6,陽冠威,3B,EDA
93,6,林瑋恩,|(SS),EDA
93,7,林旺衛,CF,EDA
93,8,方玄宗,SS(3B),EDA
93,9,林威廷,2B,EDA
95,1,胡金龍,LF,EDA
95,2,張建銘,RF,EDA
95,3,高國輝,CF,EDA
95,4,林益全,1B,EDA
95,5,陽冠威,DH,EDA
95,6,鄭達鴻,C,EDA
95,7,黃智培,3B,EDA
95,7,林旺衛,|(PH),EDA
95,8,方玄宗,SS,EDA
95,8,張詠漢,|(PH),EDA
95,9,林威廷,2B,EDA
95,9,藍少白,|(PH),EDA
97,1,胡金龍,DH,EDA
97,2,張建銘,RF,EDA
97,3,高國輝,LF,EDA
97,4,林益全,1B,EDA
97,5,陽冠威,3B,EDA
97,6,張詠漢,CF,EDA
97,7,方玄宗,SS,EDA
97,8,林琨笙,C,EDA
97,9,林威廷,2B,EDA
99,1,林旺衛,CF,EDA
99,2,張建銘,RF,EDA
99,3,高國輝,DH,EDA
99,4,林益全,1B,EDA
99,5,陽冠威,LF,EDA
99,5,張詠漢,|(LF),EDA
99,6,鄭達鴻,C,EDA
99,6,林琨笙,|(C),EDA
99,7,黃智培,3B,EDA
99,7,林瑋恩,|(SS),EDA
99,8,藍少白,SS(3B),EDA
99,8,陳凱倫,|(PH)|(3B),EDA
99,9,林威廷,2B,EDA
102,1,胡金龍,DH,EDA
102,2,張建銘,RF,EDA
102,3,高國輝,LF,EDA
102,4,林益全,1B,EDA
102,5,鄭達鴻,C,EDA
102,6,陽冠威,3B,EDA
102,7,林旺衛,CF,EDA
102,8,方玄宗,SS,EDA
102,9,林威廷,2B,EDA
102,9,張詠漢,|(PH),EDA
104,1,鄭達鴻,C,EDA
104,1,林琨笙,|(C),EDA
104,2,張建銘,RF,EDA
104,3,高國輝,LF,EDA
104,4,林益全,1B,EDA
104,5,吳宗峻,DH,EDA
104,6,陽冠威,3B,EDA
104,7,林旺衛,CF,EDA
104,8,方玄宗,SS(2B),EDA
104,9,楊承駿,2B,EDA
104,9,林瑋恩,|(SS),EDA
106,1,胡金龍,DH,EDA
106,2,張建銘,RF,EDA
106,3,高國輝,LF,EDA
106,4,林益全,1B,EDA
106,5,鄭達鴻,C,EDA
106,5,林琨笙,|(C),EDA
106,6,陽冠威,3B,EDA
106,6,陳凱倫,|(2B),EDA
106,7,林旺衛,CF,EDA
106,8,方玄宗,2B(3B),EDA
106,9,林瑋恩,SS,EDA
108,1,胡金龍,DH,EDA
108,2,張建銘,RF,EDA
108,3,高國輝,CF,EDA
108,4,林益全,1B,EDA
108,5,陽冠威,LF,EDA
108,6,鄭達鴻,C,EDA
108,6,林琨笙,|(PH)|(C),EDA
108,6,林旺衛,|(PH),EDA
108,7,黃智培,3B,EDA
108,7,方玄宗,|(PR)|(3B),EDA
108,8,林威廷,2B,EDA
108,9,林瑋恩,SS,EDA
110,1,胡金龍,DH,EDA
110,2,張建銘,RF,EDA
110,2,吳宗峻,|(LF),EDA
110,3,高國輝,LF(RF),EDA
110,4,林益全,1B,EDA
110,5,陽冠威,3B,EDA
110,5,林琨笙,|(C),EDA
110,6,鄭達鴻,C,EDA
110,6,陳凱倫,|(2B),EDA
110,7,方玄宗,2B(3B),EDA
110,8,林旺衛,CF,EDA
110,9,林瑋恩,SS,EDA
111,1,胡金龍,DH,EDA
111,2,張建銘,RF,EDA
111,3,高國輝,LF,EDA
111,4,林益全,1B,EDA
111,5,鄭達鴻,C,EDA
111,5,林琨笙,|(C),EDA
111,6,黃智培,3B,EDA
111,7,林旺衛,CF,EDA
111,8,方玄宗,2B,EDA
111,9,林瑋恩,SS,EDA
111,9,吳宗峻,|(PH),EDA
111,9,林威廷,|(PR),EDA
113,1,胡金龍,LF,EDA
113,1,林旺衛,|(CF),EDA
113,2,張建銘,RF,EDA
113,3,高國輝,CF(LF),EDA
113,4,林益全,DH,EDA
113,5,鄭達鴻,C,EDA
113,5,林琨笙,|(C),EDA
113,6,陽冠威,1B,EDA
113,6,陳凱倫,|(2B),EDA
113,7,黃智培,3B(1B),EDA
113,8,方玄宗,2B(3B),EDA
113,9,林瑋恩,SS,EDA
115,1,胡金龍,LF,EDA
115,1,林旺衛,|(CF),EDA
115,2,張建銘,RF,EDA
115,3,高國輝,CF(LF),EDA
115,4,林益全,DH,EDA
115,5,鄭達鴻,C,EDA
115,5,林琨笙,|(C),EDA
115,6,陽冠威,1B,EDA
115,6,陳凱倫,|(3B),EDA
115,7,黃智培,3B(1B),EDA
115,8,林瑋恩,SS,EDA
115,9,林威廷,2B,EDA
117,1,胡金龍,LF,EDA
117,1,吳宗峻,|(RF)                        (RF),EDA
117,1,林旺衛,|(CF)                        (CF),EDA
117,2,張建銘,RF,EDA
117,3,高國輝,CF(LF),EDA
117,4,陽冠威,DH,EDA
117,5,黃智培,1B,EDA
117,6,方玄宗,3B,EDA
117,7,林琨笙,C,EDA
117,8,陳凱倫,2B,EDA
117,9,林瑋恩,SS,EDA
119,1,胡金龍,LF,EDA
119,2,張建銘,RF,EDA
119,2,林旺衛,|(CF),EDA
119,3,高國輝,CF(RF),EDA
119,4,陽冠威,DH,EDA
119,5,黃智培,1B(3B),EDA
119,6,鄭達鴻,C,EDA
119,6,林琨笙,|(C),EDA
119,7,林威廷,2B(SS),EDA
119,8,陳凱倫,3B(2B),EDA
119,9,林瑋恩,SS,EDA
119,9,林益全,|(PH)|(1B),EDA
121,1,林旺衛,CF,EDA
121,2,胡金龍,DH,EDA
121,3,高國輝,LF,EDA
121,4,林益全,1B,EDA
121,5,陽冠威,3B,EDA
121,5,陳凱倫,|(3B),EDA
121,6,張建銘,RF,EDA
121,7,林琨笙,C,EDA
121,7,鄭達鴻,|(C),EDA
121,8,林瑋恩,SS,EDA
121,8,藍少白,|(PH),EDA
121,9,林威廷,2B,EDA
123,1,林旺衛,CF,EDA
123,2,張建銘,RF,EDA
123,3,高國輝,LF,EDA
123,4,林益全,1B,EDA
123,5,陽冠威,DH,EDA
123,6,鄭達鴻,C,EDA
123,6,林琨笙,|(C),EDA
123,7,陳凱倫,3B,EDA
123,7,胡金龍,|(PH),EDA
123,7,林瑋恩,|(SS),EDA
123,8,藍少白,SS(3B),EDA
123,9,林威廷,2B,EDA
123,9,吳宗峻,|(PH),EDA
123,9,林宗男,|(PR),EDA
125,1,林旺衛,CF,EDA
125,2,張建銘,RF,EDA
125,3,高國輝,LF,EDA
125,4,林益全,1B,EDA
125,5,陽冠威,DH,EDA
125,6,林威廷,2B,EDA
125,7,林琨笙,C,EDA
125,8,陳凱倫,3B,EDA
125,9,林瑋恩,SS,EDA
125,9,鄭達鴻,|(PH),EDA
125,9,藍少白,|(SS),EDA
127,1,林旺衛,CF,EDA
127,2,張建銘,RF,EDA
127,3,高國輝,LF,EDA
127,4,林益全,1B,EDA
127,5,陽冠威,3B,EDA
127,5,陳凱倫,|(3B),EDA
127,6,鄭達鴻,C,EDA
127,6,林琨笙,|(C),EDA
127,7,吳宗峻,DH,EDA
127,8,藍少白,SS,EDA
127,9,林威廷,2B,EDA
129,1,林旺衛,CF,EDA
129,2,張建銘,RF,EDA
129,3,高國輝,LF,EDA
129,4,林益全,1B,EDA
129,5,陽冠威,3B,EDA
129,6,吳宗峻,DH,EDA
129,7,林琨笙,C,EDA
129,7,鄭達鴻,|(PH)|(C),EDA
129,8,林瑋恩,SS,EDA
129,8,藍少白,|(PH)|(SS),EDA
129,9,林威廷,2B,EDA
132,1,林旺衛,CF,EDA
132,2,張建銘,RF,EDA
132,3,高國輝,LF,EDA
132,4,林益全,1B,EDA
132,5,鄭達鴻,C,EDA
132,5,林琨笙,|(C),EDA
132,6,陽冠威,3B,EDA
132,6,林瑋恩,|(SS),EDA
132,7,吳宗峻,DH,EDA
132,8,藍少白,SS(2B),EDA
132,9,林威廷,2B,EDA
132,9,陳凱倫,|(2B)                        (3B),EDA
134,1,林旺衛,CF,EDA
134,2,張建銘,RF,EDA
134,3,高國輝,LF,EDA
134,4,林益全,1B,EDA
134,5,陽冠威,3B,EDA
134,6,吳宗峻,DH,EDA
134,7,陳凱倫,2B,EDA
134,7,鄭達鴻,|(PH),EDA
134,8,林琨笙,C,EDA
134,9,林瑋恩,SS,EDA
136,1,林旺衛,CF,EDA
136,2,張建銘,RF,EDA
136,3,高國輝,LF,EDA
136,4,林益全,1B,EDA
136,5,陽冠威,DH,EDA
136,6,林宗男,3B,EDA
136,6,林瑋恩,|(SS),EDA
136,6,鄭達鴻,|(PH),EDA
136,7,林琨笙,C,EDA
136,7,吳宗峻,|(PH),EDA
136,8,方玄宗,SS(3B),EDA
136,9,陳凱倫,2B,EDA
137,1,胡金龍,DH,EDA
137,2,張建銘,RF,EDA
137,3,高國輝,LF,EDA
137,4,林益全,1B,EDA
137,5,鄭達鴻,C,EDA
137,6,林旺衛,CF,EDA
137,7,陽冠威,3B,EDA
137,8,藍少白,SS,EDA
137,9,陳凱倫,2B,EDA
139,1,胡金龍,DH,EDA
139,2,張建銘,RF,EDA
139,3,高國輝,LF(CF),EDA
139,4,林益全,1B,EDA
139,4,林瑋恩,|(SS),EDA
139,5,鄭達鴻,C,EDA
139,5,林琨笙,|(PH)|(C),EDA
139,6,林旺衛,CF,EDA
139,6,吳宗峻,|(LF),EDA
